,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
2006,LATITUDE Bistro,"11 Cove Drive Floor 01 One15 Marina Club 01 ONE 15 Marina Club Singapore, Singapore 098497 Singapore","11 Cove Dr, #01-01 ONE°15 Marina Club, Sentosa Cove, Singapore 098497",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJQUHLtbYe2jER2Mhu3PXf1cA,nil,1.2456358,103.8399005,Sun11:00 AM - 10:00 PM,,40,35,35,nil,4.0,38,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Sajian Mak Dara Ikan Bakar,"1 Geylang Serai Sri Geylang Serai #02-108 Geylang Serai Market and Food Centre, Singapore 402001 Singapore","1 Geylang Serai, #02-108, Singapore 402001",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJG9sAoRAY2jERfI8JTXbGTow,nil,1.3166568,103.8981808,None,,nil,nil,nil,nil,4.5,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,Oyster Co,"1 Magazine Road #01-06 Central Mall Central Mall, Singapore 059567 Singapore","1 Magazine Rd, #01-06 Central Mall, Singapore 059567",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJVfrAcHUZ2jERojJ1VH_wJGk,2,1.2883359,103.8422525,None,,40,40,40,40,3.5,68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,Shoebox Canteen,"36 North Canal Road, Singapore 059292 Singapore","36 N Canal Rd, Singapore 059292",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ_Trs_AoZ2jER1e7z5x2kVD8,nil,1.2869353,103.8471085,"Mon11:45 AM - 2:30 PM6:00 PM - 9:00 PM,Tue11:45 AM - 2:30 PM6:00 PM - 9:00 PM,Wed11:45 AM - 2:30 PM6:00 PM - 9:00 PM,Thu11:45 AM - 2:30 PM6:00 PM - 9:00 PM,Fri11:45 AM - 2:30 PM6:00 PM - 9:00 PM,Sat6:00 PM - 9:00 PM",,40,40,40,45,4.5,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2218,The Black Sheep Cafe,"11 Sin Ming Road Thomson V Two Curry Potter, Thomson V Two, #B1-30, Singapore 575629 Singapore","11 Sin Ming Rd, #B1-30 Thomson V Two, Singapore 575629",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJi8Pvn7kZ2jERhlglcPOAUJQ,nil,1.3534784,103.8355969,"Sun09:30 AM - 9:30 PM,Mon11:30 AM - 11:00 PM,Wed11:30 AM - 11:00 PM,Thu11:30 AM - 11:00 PM,Fri11:30 AM - 11:00 PM,Sat09:30 AM - 11:00 PM",,40,40,35,35,4.0,41,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2228,Toa Payoh Rojak,"51 Old Airport Road Old Airport Road Hawkers' Centre #01-108 Old Airport Road Food Centre, Singapore 390051 Singapore","51 Old Airport Rd, #01-108, Singapore 390051",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJHRVGTj8Y2jER-_cF4cKhsLc,nil,1.308248,103.8858939,"Mon12:00 PM - 8:00 PM,Tue12:00 PM - 8:00 PM,Wed12:00 PM - 8:00 PM,Thu12:00 PM - 8:00 PM,Fri12:00 PM - 8:00 PM,Sat12:00 PM - 8:00 PM",,nil,nil,nil,nil,4.5,17,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,Jacks Place,"231 Bain Street Bras Basah Complex #01-01, Singapore 180231 Singapore","BLK 231 Bain St, #01-01, Singapore 180231",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJPaWdBKUZ2jERi-fAhjU53MU,2,1.2969076,103.8536035,"Sun11:00 AM - 10:30 PM,Mon11:00 AM - 10:30 PM,Tue11:00 AM - 10:30 PM,Wed11:00 AM - 10:30 PM,Thu11:00 AM - 10:30 PM,Fri11:00 AM - 11:00 PM,Sat11:00 AM - 11:00 PM",,35,35,35,35,3.5,55,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,Earle Swensen's,"1 Harbourfront Walk #02-117 Vivo City VivoCity, Singapore 098585 Singapore","1 HarbourFront Walk, #02-117, Singapore 098585",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJA7UOu1gZ2jERcrEFy-AOKDs,2,1.2634317,103.8229708,"Sun10:30 AM - 10:30 PM,Mon10:30 AM - 10:30 PM,Tue10:30 AM - 10:30 PM,Wed10:30 AM - 10:30 PM,Thu10:30 AM - 10:30 PM,Fri10:30 AM - 10:30 PM,Sat10:30 AM - 10:30 PM",,40,35,35,35,3.5,63,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,The Hashtag Cafe,"73 North Bridge Road, Singapore 198711 Singapore","743 North Bridge Rd, Singapore 198711",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJS2hWwk4Z2jERjciPtqGIiEw,2,1.3034843,103.859086,None,,45,45,40,45,4.5,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,The Malayan Council,"10 Winstedt Road #01-27, Singapore 227977 Singapore","10 Winstedt Rd, #01-17, Singapore 227977",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJNdCjg4cZ2jERSt74lXifcjE,nil,1.3101041,103.8415314,None,,40,35,35,40,3.5,68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2296,Common Man Stan,"11/12 Stanley Street, Singapore 068731 Singapore","SG, Stanley St, 11-12, Singapore 068730",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJzeQ8gw0Z2jERhGLaINksUXI,2,1.2802902,103.8479695,None,,nil,nil,nil,nil,4.5,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,Crackerjack,"43 Tanjong Pagar Road, Singapore 088464 Singapore","43 Tg Pagar Rd, Singapore 088464",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ7ePBRW0Z2jEROwwtpyrz8lA,nil,1.2789267,103.8440089,None,,40,45,35,45,4.0,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
