,name,location,lat,lon,formatted_address,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
2612,The Skewer bar,"No.2 Geylang Road Lorong 25, Singapore 388287 Singapore",nil,nil,nil,"Sun6:00 PM - 01:30 AM,Mon6:00 PM - 01:30 AM,Tue6:00 PM - 01:30 AM,Wed6:00 PM - 01:30 AM,Thu6:00 PM - 01:30 AM,Fri6:00 PM - 01:30 AM,Sat6:00 PM - 01:30 AM",,nil,nil,nil,nil,4.5,13,True,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2613,Burger King,"180 Kitchener Road City Square Mall #02-37/38 City Square Mall, Singapore 208539 Singapore",nil,nil,nil,"Sun11:00 AM - 9:30 PM,Mon11:00 AM - 9:30 PM,Tue11:00 AM - 9:30 PM,Wed11:00 AM - 9:30 PM,Thu11:00 AM - 9:30 PM,Fri11:00 AM - 9:30 PM,Sat11:00 AM - 9:30 PM",,45,40,40,nil,4.0,26,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2614,Chao Chao Gyoza,"103 Irrawaddy Road #01-05 Royal Square, Novena, Singapore 329566 Singapore",nil,nil,nil,"Sun11:30 AM - 12:00 AM,Mon11:30 AM - 12:00 AM,Tue11:30 AM - 12:00 AM,Wed11:30 AM - 12:00 AM,Thu11:30 AM - 12:00 AM,Fri11:30 AM - 12:00 AM,Sat11:30 AM - 12:00 AM",,40,40,35,40,4.0,29,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,Tim ho Wan,"3 Gateway Drive #01-13 Westgate, Singapore 608532 Singapore",nil,nil,nil,None,,35,35,30,30,3.5,77,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2616,Yes Natural F&amp;B,"57 Lorong 27 Geylang, Singapore 388184 Singapore",nil,nil,nil,None,,45,40,40,nil,4.0,27,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2617,Awafi,"24 Waterloo Street, 6TH Floor, Jacob Ballas Centre, Singapore 187968 Singapore",nil,nil,nil,"Sun08:30 AM - 09:00 AM12:30 PM - 2:15 PM6:30 PM - 9:15 PM,Mon08:30 AM - 09:00 AM12:30 PM - 2:15 PM6:30 PM - 9:15 PM,Tue08:30 AM - 09:00 AM12:30 PM - 2:15 PM6:30 PM - 9:15 PM,Wed08:30 AM - 09:00 AM12:30 PM - 2:15 PM6:30 PM - 9:15 PM,Thu08:30 AM - 09:00 AM12:30 PM - 2:15 PM6:30 PM - 9:15 PM",,40,40,45,nil,4.0,26,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2618,Basil &amp; Mint - Thai Street Eats @ Amoy Street Food Centre,"7 Maxwell Road Mnd Building Annexe B Stall #01-47, Amoy Street Food Centre, MND Building Annexe B, Entrance on Telok Ayer Street, Singapore 069111 Singapore",nil,nil,nil,"Mon11:30 AM - 2:30 PM,Tue11:30 AM - 2:30 PM,Wed11:30 AM - 2:30 PM,Thu11:30 AM - 2:30 PM,Fri11:30 AM - 2:30 PM",,nil,nil,nil,nil,5.0,11,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2619,Gong Cha,"252 N North Bridge Road Raffles City Shopping Centre #B1-71 Raffles City Shopping Centre, Singapore 179103 Singapore",nil,nil,nil,None,,45,40,40,nil,4.0,33,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2620,Lei Garden Seafood Restaurant,"150 Orchard Road Orchard Plaza, Singapore 238841 Singapore",nil,nil,nil,None,,45,40,35,40,4.0,32,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2621,Lim's Fried Oyster,"166 Jalan Besar Berseh Food Centre #01-32 Berseh Food Centre, Singapore 208877 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.5,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,Megumi Japanese Restaurant,"443 Joo Chiat Road Rising Court, Singapore 427656 Singapore",nil,nil,nil,"Sun11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Mon11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Tue11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Wed11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Thu11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Fri11:30 AM - 2:30 PM5:30 PM - 10:30 PM,Sat11:30 AM - 2:30 PM5:30 PM - 10:30 PM",,35,35,35,35,4.0,54,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2623,Ippudo,"7 Wallich Street #01-15 Tanjong Pagar Centre Tanjong Pagar Centre, Singapore 078884 Singapore",nil,nil,nil,"Sun11:00 AM - 9:20 PM,Mon11:00 AM - 3:00 PM5:30 PM - 9:20 PM,Tue11:00 AM - 3:00 PM5:30 PM - 9:20 PM,Wed11:00 AM - 3:00 PM5:30 PM - 9:20 PM,Thu11:00 AM - 3:00 PM5:00 PM - 9:20 PM,Fri11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Sat11:00 AM - 10:00 PM",,nil,nil,nil,nil,4.5,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2624,Shaburi &amp; Kintan Buffet,"50 Jurong Gateway Road Jem #03-11&amp;12, Jem, Singapore 608549 Singapore",nil,nil,nil,"Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,40,35,35,nil,4.0,19,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2625,Mama Soi,"33 Cuppage Road Cuppage Terrace Cuppage Terrace, Singapore 229458 Singapore",nil,nil,nil,"Sun2:00 PM - 10:30 PM,Mon2:00 PM - 10:30 PM,Tue2:00 PM - 10:30 PM,Wed2:00 PM - 11:00 PM,Thu2:00 PM - 11:00 PM,Fri2:00 PM - 12:00 AM,Sat2:00 PM - 12:00 AM",,50,45,50,nil,4.0,20,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2626,Keisuke Tokyo,"9 Raffles Boulevard Millenia Walk #P3-02 Parco Marina Bay Millenia Walk, Singapore 039596 Singapore",nil,nil,nil,None,,40,40,40,nil,4.0,26,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2627,Romankan Yokohama,"391 Orchard Road Ngee Ann City Takashimaya Shopping Centre #B2-04, Singapore 238872 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.5,15,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2628,Evan's Kitch,"371 Beach Road City Gate #02-35, Singapore 199597 Singapore",nil,nil,nil,"Sun09:00 AM - 6:00 PM,Tue08:00 AM - 5:00 PM,Wed08:00 AM - 5:00 PM,Thu08:00 AM - 5:00 PM,Fri08:00 AM - 6:00 PM,Sat09:00 AM - 9:00 PM",,nil,nil,nil,nil,5.0,6,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2629,Butter &amp; Spice,"The Flow, 66 East Coast Rd, #01-06, Singapore 428778 Singapore",nil,nil,nil,"Sun11:00 AM - 10:45 PM,Mon11:00 AM - 10:45 PM,Wed11:00 AM - 10:45 PM,Thu11:00 AM - 10:45 PM,Fri11:00 AM - 10:45 PM,Sat11:00 AM - 10:45 PM",nil,40,45,40,nil,4.0,18,True,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2630,Shabu Sai,"3 Simei Street 6 Floor Eastpoint Mall #03-06 Eastpoint Mall, Singapore 528833 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.0,19,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,Tipsy Penguin,"300 Tampines Avenue 5 Income At Tampines Junction #01-02a, Singapore 529653 Singapore",nil,nil,nil,"Sun5:00 PM - 01:00 AM,Mon5:00 PM - 01:00 AM,Tue5:00 PM - 01:00 AM,Wed5:00 PM - 01:00 AM,Thu5:00 PM - 01:00 AM,Fri5:00 PM - 01:00 AM,Sat5:00 PM - 01:00 AM",,30,30,30,30,4.0,22,True,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2632,Kotobuki Japanese Restaurant,"20 Ah Hood Road #01-16 Zhongshan Mall, Singapore 329984 Singapore",nil,nil,nil,"Sun11:30 PM - 10:30 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:30 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:30 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:30 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:30 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:30 PM,Sat11:30 PM - 10:30 PM",,45,45,40,nil,4.0,17,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2633,Treasures Yi Dian Xin,"252 North Bridge Road Raffles City Shopping Centre #B1-37, Raffles City Shopping Centre, Singapore 179103 Singapore",nil,nil,nil,"Sun10:30 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat10:30 AM - 10:00 PM",,35,30,30,nil,3.5,61,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2634,Let's Meat Up - Robatayaki,"68 Orchard Road Plaza Singapura #B1-08 Plaza Singapura, Singapore 238839 Singapore",nil,nil,nil,"Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat11:00 AM - 10:00 PM",,nil,nil,nil,nil,4.0,23,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2635,Matsukiya,"290 Orchard Road The Paragon Paragon #05-04, Singapore 238859 Singapore",nil,nil,nil,"Sun11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Mon11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Tue11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Wed11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Thu11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Fri11:30 AM - 3:00 PM6:00 PM - 9:30 PM,Sat11:30 AM - 3:00 PM6:00 PM - 9:30 PM",,45,45,40,45,4.5,13,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2636,Kyuu by Shunsui (Keong Saik),"29 Keong Saik Road, Singapore 089136 Singapore",nil,nil,nil,"Sun5:00 PM - 11:00 PM,Tue5:00 PM - 11:00 PM,Wed5:00 PM - 11:00 PM,Thu5:00 PM - 11:00 PM,Fri5:00 PM - 11:00 PM,Sat5:00 PM - 11:00 PM",,40,45,40,nil,4.0,18,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,Heavenly Wang,"65 Airport Boulevard Changi Airport Terminal 3 #01-25, Changi Airport Terminal 3 Arrival Meeting Hall, Singapore 819663 Singapore",nil,nil,nil,"Sun12:00 AM - 11:59 PM,Mon12:00 AM - 11:59 PM,Tue12:00 AM - 11:59 PM,Wed12:00 AM - 11:59 PM,Thu12:00 AM - 11:59 PM,Fri12:00 AM - 11:59 PM,Sat12:00 AM - 11:59 PM",,40,35,40,nil,3.5,29,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2638,Delifrance,"133 New Bridge Road Chinatown Point, Singapore 059413 Singapore",nil,nil,nil,None,,40,40,40,nil,4.0,20,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2639,&amp; Why,"31 Bali Lane, Singapore 189867 Singapore",nil,nil,nil,"Sun11:00 AM - 11:00 PM,Mon11:00 AM - 11:00 PM,Tue11:00 AM - 11:00 PM,Thu11:00 AM - 11:00 PM,Fri11:00 AM - 11:00 PM,Sat11:00 AM - 11:00 PM",,40,40,35,40,4.0,35,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2640,Goldleaf Restaurant,"88 East Coast Road Katong Square #01-05/06/07, Singapore 423371 Singapore",nil,nil,nil,"Sun11:30 AM - 10:00 PM,Mon11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Tue11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Wed11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Thu11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Fri11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Sat11:30 AM - 10:00 PM",,35,35,35,nil,3.5,50,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641,Ciel Patisserie,"124 Hougang Avenue 1 #01-1444, Singapore 530124 Singapore",nil,nil,nil,"Sun3:00 PM - 9:00 PM,Tue11:00 AM - 8:00 PM,Wed11:00 AM - 8:00 PM,Thu11:00 AM - 8:00 PM,Fri11:00 AM - 9:00 PM,Sat11:00 AM - 9:00 PM",,40,40,nil,nil,4.5,15,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2642,Jia Xiang Sarawak Kuching Kolo Mee,"B2-38 Vivocity, Singapore 098585 Singapore",nil,nil,nil,None,,40,35,35,nil,3.5,36,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643,Jia Bin Klang Bak Kut Teh,"62 Rangoon Road R66 Apartments, Singapore 218352 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.5,12,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2644,Lee Fun Nam Lee Chicken Rice,"Blk 94, Lor 4 Toa Payoh, Singapore 310094 Singapore",nil,nil,nil,"Sun11:00 AM - 9:00 PM,Mon11:00 AM - 9:00 PM,Tue11:00 AM - 9:00 PM,Wed11:00 AM - 9:00 PM,Thu11:00 AM - 9:00 PM,Fri11:00 AM - 9:00 PM,Sat11:00 AM - 9:00 PM",,40,35,35,35,4.0,40,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2645,Talay Thai,"3E River Valley Road #01-05 Clarke Quay, Singapore 179019 Singapore",nil,nil,nil,None,,30,30,25,nil,3.5,83,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2646,The Royals Cafe,"19 Upper East Coast Road Crescendo Building, Singapore 455209 Singapore",nil,nil,nil,None,,40,45,40,nil,4.0,28,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2647,Tandoori Zaika,"70 Boat Quay, Singapore 049858 Singapore",nil,nil,nil,"Sun5:30 PM - 11:00 PM,Mon11:30 AM - 2:30 PM5:30 PM - 11:00 PM,Tue11:30 AM - 2:30 PM5:30 PM - 11:00 PM,Wed11:30 AM - 2:30 PM5:30 PM - 11:00 PM,Thu11:30 AM - 2:30 PM5:30 PM - 11:00 PM,Fri11:30 AM - 2:30 PM5:30 PM - 11:00 PM,Sat11:30 AM - 2:30 PM5:30 PM - 11:00 PM",,nil,nil,nil,nil,4.5,11,True,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2648,Tipo Pasta Bar,"North Bridge Rd 785, Singapore 198753 Singapore",nil,nil,nil,"Sun12:00 PM - 10:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 10:00 PM,Fri12:00 PM - 10:00 PM,Sat12:00 PM - 10:00 PM",,40,35,40,40,3.5,56,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2649,Fukuichi Japanese Dining,"02-11/12, Triple One Somerset, 111 Somerset Road, Singapore Singapore",nil,nil,nil,"Sun12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Mon12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Tue12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Wed12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Thu12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Fri12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Sat12:00 PM - 3:00 PM6:00 PM - 12:00 AM",,40,40,35,35,4.0,28,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2650,Jai Thai Restaurant,"7 Clover Way Clover Park, Singapore 579080 Singapore",nil,nil,nil,"Sun11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Mon11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Tue11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Wed11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Thu11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Fri11:00 AM - 3:00 PM6:00 PM - 10:00 PM,Sat11:00 AM - 3:00 PM6:00 PM - 10:00 PM",,40,35,45,25,4.0,28,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2651,Sticky Rice,"23 Bali Lane, Singapore 189859 Singapore",nil,nil,nil,"Mon12:00 PM - 3:00 PM6:00 PM - 10:00 PM,Tue12:00 PM - 3:00 PM6:00 PM - 10:00 PM,Wed12:00 PM - 3:00 PM6:00 PM - 10:00 PM,Thu12:00 PM - 3:00 PM6:00 PM - 10:00 PM,Fri12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 10:30 PM",,nil,nil,nil,nil,4.0,22,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2652,Springleaf Prata Place,"57B Jalan Tua Kong, Singapore 457253 Singapore",nil,nil,nil,"Sun08:00 AM - 12:00 AM,Mon08:00 AM - 12:00 AM,Tue08:00 AM - 12:00 AM,Wed08:00 AM - 12:00 AM,Thu08:00 AM - 12:00 AM,Fri08:00 AM - 12:00 AM,Sat08:00 AM - 12:00 AM",,35,30,35,nil,3.5,88,True,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2653,Uncle Kiisu,"10 Sinaran Drive Square 2 #02-65 Square 2, Accessible Via Novena Mrt – 5 Min Walk, Singapore 307506 Singapore",nil,nil,nil,"Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat11:00 AM - 10:00 PM",,40,40,35,35,4.0,21,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2654,Hong Kee Beef Noodle,"7 Maxwell Road Mnd Building Annexe B 01-42 Amoy Street Food Centre, Singapore 069111 Singapore",nil,nil,nil,None,,40,40,40,nil,4.0,20,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2655,Yatagarasu Yakitori,"72 Circular Road #01-01, Singapore 049426 Singapore",nil,nil,nil,None,,40,35,40,nil,4.0,23,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656,Kind Kones,"583 Orchard Road Forum Lot B1-27/K1, Forum The Shopping Mall, Singapore 238884 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.5,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2657,Hu Zhen Long,"14 Sago Street Singapore 059015 Beside Buddha tooth temple, Singapore 059015 Singapore",nil,nil,nil,"Sun10:00 AM - 8:00 PM,Mon10:00 AM - 8:00 PM,Tue10:00 AM - 8:00 PM,Wed10:00 AM - 8:00 PM,Thu10:00 AM - 8:00 PM,Fri10:00 AM - 8:00 PM,Sat10:00 AM - 8:00 PM",,nil,nil,nil,nil,5.0,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,Bakery And Bar St. Marc,"920 East Coast Parkway, Parkland Green, @ ECP #01-09/10, Singapore 449875 Singapore",nil,nil,nil,"Sun09:00 AM - 11:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 11:00 PM,Fri09:00 AM - 11:00 PM,Sat09:00 AM - 11:00 PM",,35,35,35,nil,3.5,27,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2659,Umi Nami,"8 Lorong Mambong Holland Village Holland Village, Singapore 277674 Singapore",nil,nil,nil,None,,nil,nil,nil,nil,4.0,12,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2660,Wakey Wakey,"302 Beach Road Concourse Skyline #01-04/05 Concourse Skyline, Singapore 199600 Singapore",nil,nil,nil,None,,45,40,40,nil,4.0,23,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2661,9th Ave,"43 Woodlands Avenue 9 Floor Republic Polytechnic SIT at RP, Singapore 737729 Singapore",nil,nil,nil,None,,45,45,45,50,4.5,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2662,The Social Space,"333 Kreta Ayer Road #01-14, Singapore 080333 Singapore",nil,nil,nil,"Sun09:00 AM - 6:00 PM,Mon09:00 AM - 7:00 PM,Wed09:00 AM - 7:00 PM,Thu09:00 AM - 7:00 PM,Fri09:00 AM - 7:00 PM,Sat09:00 AM - 7:00 PM",,nil,nil,nil,nil,5.0,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2663,New Thai Food,"184 Race Course Rd, Singapore 218611 Singapore",nil,nil,nil,"Sun11:00 AM - 10:30 PM,Mon11:00 AM - 10:30 PM,Tue11:00 AM - 10:30 PM,Wed11:00 AM - 10:30 PM,Thu11:00 AM - 10:30 PM,Fri11:00 AM - 10:30 PM,Sat11:00 AM - 10:30 PM",,nil,nil,nil,nil,5.0,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2664,Curry Cafe,"Blk 482 Admiralty Link #01-13,, Singapore 750482 Singapore",nil,nil,nil,"Sun08:00 AM - 8:00 PM,Mon09:00 AM - 9:00 PM,Tue09:00 AM - 9:00 PM,Wed09:00 AM - 9:00 PM,Thu09:00 AM - 9:00 PM,Fri09:00 AM - 9:00 PM,Sat08:00 AM - 8:00 PM",,nil,nil,nil,nil,4.5,10,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2665,Imperial Treasure Steamboat Restaurant,"111 Somerset Road #02-14/19, 111 Somerset Road, Singapore 238164 Singapore",nil,nil,nil,"Sun11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Mon11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Tue11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Wed11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Thu11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Fri11:00 AM - 3:00 PM6:00 PM - 11:00 PM,Sat11:00 AM - 3:00 PM6:00 PM - 11:00 PM",,40,40,35,40,4.0,49,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2666,McDonald's,"Changi Airport Terminal 2, Singapore Singapore",nil,nil,nil,None,,35,35,35,35,3.5,77,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
