,Unnamed: 0,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
1575,1575,A Poke Theory,"27 Boon Tat Street In CBD, Singapore 069623 Singapore","27 Boon Tat St, Singapore 069623",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJP7atuw0Z2jERBqERX6BR-l0,nil,1.2812994,103.8486537,"Mon11:00 AM - 8:00 PM,Tue11:00 AM - 8:00 PM,Wed11:00 AM - 8:00 PM,Thu11:00 AM - 8:00 PM,Fri11:00 AM - 8:00 PM,Sat11:00 AM - 4:00 PM",,45,45,40,nil,4,36,True,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1576,1576,Lobby Bar,"39 Scotts Road Sheraton Towers Hotel Sheraton Towers Singapore, Singapore 228230 Singapore","39 Scotts Rd, Singapore 228230",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,ChIJQeI7N-wZ2jERnpSwVQl2b00,nil,1.3118244,103.8364761,"Sun09:00 AM - 01:00 AM,Mon09:00 AM - 01:00 AM,Tue09:00 AM - 01:00 AM,Wed09:00 AM - 01:00 AM,Thu09:00 AM - 01:00 AM,Fri09:00 AM - 01:00 AM,Sat09:00 AM - 01:00 AM",,35,45,40,nil,4.5,35,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,1577,Pasta Fresca Da Salvatore,"9 Upper East Coast Road #01-01 Siglap, Singapore 455203 Singapore","9 Upper E Coast Rd, #01-01, Singapore 455203",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJAbqMFbsi2jERlHZFjl-OSKg,2,1.3129404,103.9256205,"Sun11:30 AM - 11:00 PM,Mon11:30 AM - 3:00 PM6:00 PM - 11:00 PM,Tue11:30 AM - 3:00 PM6:00 PM - 11:00 PM,Wed11:30 AM - 3:00 PM6:00 PM - 11:00 PM,Thu11:30 AM - 3:00 PM6:00 PM - 11:00 PM,Fri11:30 AM - 11:00 PM,Sat11:30 AM - 11:00 PM",,40,40,40,35,4,65,True,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1578,1578,Kinki,"70 Collyer Quay Customs House #02-02, Singapore 049323 Singapore","70, #02-02 Collyer Quay, Customs House, Singapore 049323",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJo8Nh_Q4Z2jERONS2OMrJ5tA,3,1.2824913,103.8534753,"Sun12:00 PM - 3:00 PM,Mon12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Tue12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Wed12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Thu12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Fri12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 10:30 PM",,35,35,30,35,3.5,127,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1579,1579,Freehouse,"10 Gemmill Lane Second Floor, Singapore 069251 Singapore","10 Gemmill Ln, Singapore 069251",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJEzwmuw0Z2jER6ED7kpKsp5s,2,1.2824125,103.8469584,"Mon5:00 PM - 11:00 PM,Tue11:00 AM - 11:00 PM,Wed11:00 AM - 11:00 PM,Thu11:00 AM - 11:00 PM,Fri3:00 PM - 11:00 PM,Sat11:00 AM - 11:00 PM",,40,45,40,45,4,37,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1580,1580,Coocaça,"541 Orchard Road Liat Towers #01-01B Liat Towers, Singapore 238881 Singapore","541 Orchard Rd, #01-01B Liat Towers, Singapore 238881",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJ7WloGpEZ2jERBU0Shwp66hM,nil,1.3051318,103.8309415,"Sun08:30 AM - 10:00 PM,Mon08:30 AM - 10:00 PM,Tue08:30 AM - 10:00 PM,Wed08:30 AM - 10:00 PM,Thu08:30 AM - 10:00 PM,Fri08:30 AM - 10:00 PM,Sat08:30 AM - 10:00 PM",,45,40,40,nil,4.5,21,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1581,1581,Ramen Keisuke Lobster King,"3C River Valley Road #01-07 the Cannery, Singapore 179022 Singapore","3C River Valley Road, Clarke Quay, Block C, #01-07, The Cannery, Singapore 179022",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ7fT_GaAZ2jERw_VG_Hzzocc,2,1.2906791,103.8457346,None,,40,40,35,nil,4,82,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1582,1582,PLONK,"7 Maju Avenue Serangoon Garden Estate Serangoon Gardens Estate, Singapore 556685 Singapore","7 Maju Ave, Singapore 556685",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJQ0-Btv8W2jERSGFQaG61Dww,2,1.3653157,103.8654034,"Sun09:00 AM - 12:00 AM,Mon11:00 AM - 12:00 AM,Tue11:00 AM - 12:00 AM,Wed11:00 AM - 12:00 AM,Thu11:00 AM - 12:00 AM,Fri11:00 AM - 01:00 AM,Sat09:00 AM - 02:00 AM",,40,40,35,40,4,78,True,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,1583,Boon Tong Kee,"Blk 233 Ang Mo Kio Avenue 3 #01-1194 Kebun Baru Palm View, Singapore 560233 Singapore","233 Ang Mo Kio Ave 3, #01-1194, Singapore 560233",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJW-F7a9kW2jEROnVdsO3RJVc,nil,1.3674625,103.8370641,"Mon11:00 AM - 5:00 PM5:30 PM - 05:30 AM,Tue11:00 AM - 5:00 PM5:30 PM - 05:30 AM,Wed11:00 AM - 5:00 PM5:30 PM - 05:30 AM,Thu11:00 AM - 5:00 PM5:30 PM - 05:30 AM,Fri11:00 AM - 5:00 PM5:30 PM - 05:30 AM,Sat11:00 AM - 5:00 PM5:30 PM - 05:30 AM",,45,45,40,nil,4,41,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,1584,Mad for Garlic,"3 Temasek Boulevard Floor 01 Suntec City Mall 039, Singapore 038983 Singapore","3 Temasek Blvd, #02-300/301, Singapore 038983",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJMVWhBq8Z2jERVOQeMrxVnSA,2,1.29357,103.856748,None,,40,35,35,35,3.5,168,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
